artist,genre,birthdate,birthdate1,birthdate2,birthdate3,deathdate,deathdate1,deathdate2,deathdate3,approximate age
Disco D,Ghettotech,1980,1980-09-21,1980-09-21,1980-09-21,2007,2007-01-22,2007-01-22,2007-01-22,27
Bob Gordon (saxophonist),Jazz,1928,1928-06-11,1928-06-11,1928-06-11,1955,1955-08-28,1955-08-28,1955-08-28,27
Marvin Humes,Pop music,1985,1985-03-18,1985-03-18,18.0,2012,,2012.0,,27
Overkill L.A.,Hardcore punk,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Chris Bell (musician),Rock music,1951,1951-01-25,1951-01-12,1951-01-25,1978,1978-12-27,1978-12-27,1978-12-27,27
Kami (musician),Progressive rock,1972,1972-02-01,1972-02-01,1973-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Tanguito,Rock and roll,1945,1945-09-16,1945-09-16,1945-09-16,1972,1972-05-19,1972-05-19,Buenos_Aires,27
Kami (musician),Gothic rock,1972,1972-02-01,1973-02-01,1973-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Gram Parsons,Country music,1946,1946-11-05,1946-11-05,1946-11-05,1973,1973-09-19,1973-09-19,1973-09-19,27
Yutaka Ozaki,Japanese Rock,1965,1965-11-29,1965-11-29,1965-11-29,1992,1992-04-25,1992-04-25,1992-04-25,27
Audie Pitre,Sludge metal,1970,1970-10-05,1970-10-05,1970-10-05,1997,1997-01-23,1997-01-23,1997-01-23,27
Chris Bell (musician),Rock music,1951,1951-01-12,1951-01-12,1951-01-25,1978,1978-12-27,1978-12-27,1978-12-27,27
André Pretorius (musician),Punk rock,1961,1961-08-02,1961-08-02,1961-08-02,1988,1988-10-13,1987-10-13,1988-10-13,27
Fats Navarro,Jazz,1923,1923-09-24,1923-09-24,1923-09-24,1950,1950-07-06,1950-07-06,1950-07-07,27
Kami (musician),Punk rock,1972,1972-02-01,1973-02-01,1972-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Tanguito,Rock and roll,1945,1945-09-16,"San_Mart%C3%ADn,_Buenos_Aires",1945-09-16,1972,1972-05-19,1972-05-19,Buenos_Aires,27
Tanguito,Rock and roll,1945,1945-09-16,Argentina,1945-09-16,1972,1972-05-19,1972-05-19,1972-05-19,27
Bob Gordon (saxophonist),Jazz,1928,1928-06-11,1928-06-11,11.0,1955,1955-08-28,28.0,1955-08-28,27
Kami (musician),Gothic rock,1972,1972-02-01,1972-02-01,1973-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Hidden@33837542,Rock and roll,1940,1940-11-23,1940-11-23,,1967,1967-12-22,,1967-12-22,27
Chris Bell (musician),Power pop,1951,1951-01-25,1951-01-12,1951-01-25,1978,1978-12-27,1978-12-27,1978-12-27,27
Bob Gordon (saxophonist),Cool jazz,1928,1928-06-11,1928-06-11,1928-06-11,1955,1955-08-28,28.0,1955-08-28,27
Kami (musician),Progressive rock,1972,1972-02-01,1972-02-01,1972-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Kami (musician),Punk rock,1972,1972-02-01,1972-02-01,1973-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Brian Jones,Psychedelic rock,1942,1942-02-28,1942-02-28,28.0,1969,1969-07-03,3.0,1969-07-03,27
Bob Gordon (saxophonist),Cool jazz,1928,1928-06-11,1928-06-11,11.0,1955,1955-08-28,28.0,1955-08-28,27
Chris Bell (musician),Power pop,1951,1951-01-12,1951-01-12,1951-01-25,1978,1978-12-27,1978-12-27,1978-12-27,27
Valentín Elizalde,Banda music,1979,1979-02-01,1979-02-01,1979-02-01,2006,2006-11-25,2006-11-25,2006-11-25,27
Brian Jones,Rock and roll,1942,1942-02-28,1942-02-28,28.0,1969,1969-07-03,1969-07-03,1969-07-03,27
Janis Joplin,Blues rock,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Brian Jones,Rock and roll,1942,1942-02-28,1942-02-28,1942-02-28,1969,1969-07-03,3.0,1969-07-03,27
Brian Jones,Rhythm and blues,1942,1942-02-28,1942-02-28,1942-02-28,1969,1969-07-03,3.0,1969-07-03,27
Brian Jones,Rock and roll,1942,1942-02-28,1942-02-28,1942-02-28,1969,1969-07-03,1969-07-03,1969-07-03,27
Tanguito,Rock and roll,1945,1945-09-16,"San_Mart%C3%ADn,_Buenos_Aires",1945-09-16,1972,1972-05-19,1972-05-19,1972-05-19,27
Bob Gordon (saxophonist),Jazz,1928,1928-06-11,1928-06-11,1928-06-11,1955,1955-08-28,28.0,1955-08-28,27
Brian Jones,Blues rock,1942,1942-02-28,1942-02-28,1942-02-28,1969,1969-07-03,3.0,1969-07-03,27
Marvin Humes,Dance music,1985,1985-03-18,1985-03-18,18.0,2012,,2012.0,,27
Brian Jones,Rhythm and blues,1942,1942-02-28,1942-02-28,28.0,1969,1969-07-03,1969-07-03,1969-07-03,27
Marvin Humes,Contemporary R&B,1985,1985-03-18,1985-03-18,18.0,2012,,2012.0,,27
Janis Joplin,Acid-rock,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Kurt Cobain,Grunge,1967,1967-02-20,1967-02-20,1967-02-20,1994,1994-04-05,--04-05,1994-04-05,27
Noel Rosa,Samba,1910,1910-12-11,1910-12-11,1910-12-11,1937,1937-05-04,1937-05-04,1937-05-04,27
Robert Johnson,Delta blues,1911,1911-05-08,1911-05-08,1911.0,1938,1938-08-16,1938.0,1938-08-16,27
Audie Pitre,Experimental metal,1970,1970-10-05,1970-10-05,1970-10-05,1997,1997-01-23,1997-01-23,1997-01-23,27
Brian Jones,Psychedelic rock,1942,1942-02-28,1942-02-28,1942-02-28,1969,1969-07-03,3.0,1969-07-03,27
Troy Newman (Australian singer),Rock music,1970,,,1970.0,1997,,1997.0,,27
Janis Joplin,Folk music,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Janis Joplin,Blues-rock,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Fats Navarro,Bebop,1923,1923-09-24,1923-09-24,1923-09-24,1950,1950-07-06,1950-07-06,1950-07-07,27
Marvin Humes,Dance music,1985,1985-03-18,1985-03-18,1985-03-18,2012,,2012.0,,27
Disco D,Techno,1980,1980-09-21,1980-09-21,1980-09-21,2007,2007-01-22,2007-01-22,2007-01-22,27
Rodrigo Bueno,Cuarteto Arena,1973,1973-05-24,1973-05-24,24.0,2000,2000-06-24,24.0,2000-06-24,27
Brian Jones,Rhythm and blues,1942,1942-02-28,1942-02-28,1942-02-28,1969,1969-07-03,1969-07-03,1969-07-03,27
Gram Parsons,Rock music,1946,1946-11-05,1946-11-05,1946-11-05,1973,1973-09-19,1973-09-19,1973-09-19,27
Pan Head,Reggae,1966,,,1966.0,1993,,1993.0,,27
Bob Gordon (saxophonist),Cool jazz,1928,1928-06-11,1928-06-11,11.0,1955,1955-08-28,1955-08-28,1955-08-28,27
Kami (musician),Art rock,1972,1972-02-01,1972-02-01,1973-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Bob Gordon (saxophonist),Jazz,1928,1928-06-11,1928-06-11,11.0,1955,1955-08-28,1955-08-28,1955-08-28,27
Marvin Humes,Pop music,1985,1985-03-18,1985-03-18,1985-03-18,2012,,2012.0,,27
Brian Jones,Blues rock,1942,1942-02-28,1942-02-28,28.0,1969,1969-07-03,3.0,1969-07-03,27
Rodrigo Bueno,Cuarteto,1973,1973-05-24,1973-05-24,24.0,2000,2000-06-24,24.0,2000-06-24,27
Brian Jones,Blues rock,1942,1942-02-28,1942-02-28,1942-02-28,1969,1969-07-03,1969-07-03,1969-07-03,27
Janis Joplin,Psychedelic rock,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Valentín Elizalde,Norteño (music),1979,1979-02-01,1979-02-01,1979-02-01,2006,2006-11-25,2006-11-25,2006-11-25,27
Brian Jones,Blues rock,1942,1942-02-28,1942-02-28,28.0,1969,1969-07-03,1969-07-03,1969-07-03,27
Marvin Humes,Contemporary R&B,1985,1985-03-18,1985-03-18,1985-03-18,2012,,2012.0,,27
Disco D,Electronic music,1980,1980-09-21,1980-09-21,1980-09-21,2007,2007-01-22,2007-01-22,2007-01-22,27
Janis Joplin,Soul music,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Robert Johnson,Country blues,1911,1911-05-08,1911-05-08,1911.0,1938,1938-08-16,1938.0,1938-08-16,27
Janis Joplin,Hard rock,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Brian Jones,Psychedelic rock,1942,1942-02-28,1942-02-28,1942-02-28,1969,1969-07-03,1969-07-03,1969-07-03,27
Brian Jones,Rhythm and blues,1942,1942-02-28,1942-02-28,28.0,1969,1969-07-03,3.0,1969-07-03,27
Gram Parsons,Country rock,1946,1946-11-05,1946-11-05,1946-11-05,1973,1973-09-19,1973-09-19,1973-09-19,27
Kurt Cobain,Alternative rock,1967,1967-02-20,1967-02-20,1967-02-20,1994,1994-04-05,--04-05,1994-04-05,27
Kami (musician),Art rock,1972,1972-02-01,1973-02-01,1972-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Kami (musician),Progressive rock,1972,1972-02-01,1973-02-01,1972-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Alan Wilson (musician),Blues rock,1943,1943-07-04,1943-07-04,1943-07-04,1970,1970-09-03,1970-09-03,1970-09-03,27
Kami (musician),Punk rock,1972,1972-02-01,1973-02-01,1973-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Kami (musician),Art rock,1972,1972-02-01,1972-02-01,1972-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Brian Jones,Rock and roll,1942,1942-02-28,1942-02-28,28.0,1969,1969-07-03,3.0,1969-07-03,27
D. Boon,Alternative rock,1958,1958-04-01,1958-04-01,1958-04-01,1985,1985-12-22,1985-12-22,1985-12-22,27
Kami (musician),Progressive rock,1972,1972-02-01,1973-02-01,1973-02-01,1999,1999-06-21,1999-06-21,1999-06-21,27
Overkill L.A.,Speed metal,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Fats Navarro,Bebop,1923,1923-09-24,1923-09-24,1923-09-24,1950,1950-07-07,1950-07-06,1950-07-07,27
Tanguito,Rock and roll,1945,1945-09-16,Argentina,1945-09-16,1972,1972-05-19,1972-05-19,Buenos_Aires,27
Brian Jones,Psychedelic rock,1942,1942-02-28,1942-02-28,28.0,1969,1969-07-03,1969-07-03,1969-07-03,27
Alan Wilson (musician),Blues,1943,1943-07-04,1943-07-04,1943-07-04,1970,1970-09-03,1970-09-03,1970-09-03,27
Overkill L.A.,Hardcore,1943,1943-01-19,1943-01-19,1943-01-19,1970,1970-10-04,1970-10-04,1970-10-04,27
Bob Gordon (saxophonist),Cool jazz,1928,1928-06-11,1928-06-11,1928-06-11,1955,1955-08-28,1955-08-28,1955-08-28,27
Tanguito,Rock and roll,1945,1945-09-16,1945-09-16,1945-09-16,1972,1972-05-19,1972-05-19,1972-05-19,27
